airline,average_delays,air_system_delay,security_delay,airline_delay,aircraft_delay,weather_delay,other_delay,cancelledA,cancelledB,cancelledC,cancelledD
AS,"""-4,6,7,10,2,3,1,0,-5,-8,5,0,-3,-5,-3,1,-4,-1,-5,-6,-2,-3,-4,-9,-7,-1,-11,-6,-1,16,6,1,9,-5,-5,4,1,-3,2,-1,-2,-6,2,1,0,-4,-6,-1,-4,0,2,1,-3,-1,-9,-5,-3,-1,-5,4,1,-3,-3,-5,0,-7,-2,1,-1,0,4,-2,3,24,0,-6,-6,-2,-2,0,-2,2,0,-5,-5,-4,-7,-3,0,-2,-2,0,1,-10,-7,-5,-5,-5,0,-4,-10,-4,-1,3,0,-5,-6,-7,-7,2,3,-7,-4,-2,-2,-5,-7,-1,-6,-3,-4,-7,-1,0,-2,-1,-4,-3,-5,-3,-2,-5,-3,1,0,-4,-3,1,1,2,4,1,-4,-7,-2,-3,-1,-2,-4,-6,-4,3,-3,-2,-3,0,-6,-5,-3,1,-1,-3,3,-3,3,0,-3,-3,-2,4,5,-4,2,-3,-2,-1,3,2,1,-1,-1,3,-1,-3,-10,-1,0,2,4,1,-1,-4,-1,-1,-1,-4,0,0,5,0,4,3,-3,0,2,-4,1,4,2,-1,3,-1,1,1,0,2,5,2,-1,-1,-3,1,1,3,4,29,5,4,1,-4,-1,8,9,-4,3,-1,-2,-4,-4,-2,10,0,-1,-1,-1,-1,9,-2,-6,-4,-2,-4,3,-4,-6,5,-1,-6,-5,0,-1,-7,-2,-3,-5,-4,0,4,-7,-7,-5,-6,-3""",219400,4665,267426,292402,28953,158081,278,213,6,0
AA,"""15,20,31,36,24,14,11,14,10,7,12,9,2,2,1,2,-3,0,-3,-3,-1,1,0,2,1,2,-7,-4,-2,1,-2,5,12,1,1,13,-3,-8,1,2,-4,-6,-2,0,0,2,17,9,4,1,4,11,21,14,6,10,22,49,39,32,16,13,7,27,16,10,11,6,2,2,5,5,3,7,-3,-2,3,0,11,6,3,20,-1,4,5,5,-2,-1,-3,-4,6,0,2,-1,-4,-5,-4,7,29,4,-4,0,43,-3,-5,2,8,3,2,10,-4,-5,0,42,1,3,17,1,-6,-4,-6,-8,-3,-4,-1,-3,6,15,23,49,11,-5,11,-2,-1,0,5,10,1,1,6,1,-1,-7,26,10,6,4,3,7,8,5,-4,-8,-2,5,-4,5,14,7,7,3,4,2,11,22,16,48,21,6,10,8,9,10,0,3,18,6,5,2,6,5,3,0,-7,-1,6,6,10,6,-2,-5,-2,9,10,11,3,-2,21,3,-2,5,-1,1,-2,-1,0,0,3,0,15,10,7,3,3,4,0,4,4,3,-1,10,15,-1,1,1,11,4,5,3,13,27,1,-5,-1,-3,-4,-2,-3,-4,-7,-2,-4,-8,-3,0,8,-6,-10,-7,3,4,16,-1,-3,-2,-4,-7,-4,10,1,-6,-3,-2,-7,-8,-4,-2,-7,-3,-3,-3,-1""",1255166,8348,2004367,2135977,345980,532879,2235,5614,515,0
US,"""0,1,15,20,6,31,5,6,3,-3,2,10,0,-2,2,-2,-7,-1,-5,-6,-1,-2,0,4,-4,2,-5,-2,-4,14,-2,28,14,4,-3,5,-5,-9,-2,0,1,-1,1,4,-1,6,12,35,5,9,11,15,25,7,9,2,12,6,5,26,13,8,7,25,13,0,-2,-4,-6,0,2,2,4,1,-6,-2,-3,-3,16,-2,-3,-1,-4,3,12,4,-2,-2,-1,-2,-1,2,1,-1,-3,-3,-1,7,14,10,3,0,1,0,4,3,3,0,3,29,0,-1,-1,5,-1,-1,0,-1,-6,-1,-3,-6,-3,-1,-6,-1,-1,1,-1,4,4,-4,-4,-2,1,1,-1,20,9,-2,2,-4,-4,-9,-3,-1,12,2,-1,-2,5,15,9,-3,0,1,-4,-3,6,2,0,-1,5,2,7,9,4,5,21,9,5,1,0,16,7,5,7,13,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0""",601963,6163,636322,523060,70557,253664,1007,2490,570,0
DL,"""-8,-1,11,16,-2,9,-2,4,4,-7,-4,23,-4,-5,-3,-5,-12,-8,-9,-9,-8,-10,-3,-4,-11,-5,-11,-9,-6,-1,-10,4,26,4,-2,1,-7,-11,-6,5,-5,-6,-3,3,4,-2,17,22,6,4,9,14,13,3,28,12,6,1,-2,22,12,19,9,23,10,-3,-3,-6,-6,-2,-1,-2,0,2,-8,-3,-3,-1,7,1,-1,0,-5,0,5,5,-5,-7,-4,-5,-5,2,-1,0,-7,-4,0,-1,9,40,1,-1,-1,-3,-1,1,-3,-6,1,14,-5,-5,-5,-3,3,-6,-6,-7,-6,-6,-10,-10,-7,-7,-9,-6,-5,-1,-5,-1,2,-5,-5,-4,-4,-6,-3,30,4,-4,-4,-7,-8,-9,2,30,12,8,-2,-7,22,13,1,1,-4,-2,-7,-4,2,28,3,5,0,-6,2,9,1,-3,19,2,5,-2,4,5,25,5,-1,17,-1,-3,5,10,3,12,-7,-2,1,-2,-3,-2,-3,-8,-6,-1,16,6,-3,-4,11,2,-5,5,-2,7,0,-5,-7,-1,-1,-1,7,3,-2,-4,-2,-2,-3,9,-1,-7,-6,10,6,-7,-1,-3,4,-4,9,13,9,17,-1,-3,18,-5,-8,-7,-6,-6,-7,-4,-5,-9,-5,9,4,-8,-9,-9,-3,-5,17,-3,-5,-6,-8,-8,-7,-1,-6,-10,-7,-5,-6,-9,-7,0,-6,-6,-3,-4,-3""",1434351,2664,2085249,1694440,487507,627771,441,2921,246,0
NK,"""7,12,32,38,49,33,23,17,19,8,9,34,5,11,6,6,-1,0,-1,3,8,5,5,-1,8,6,-6,-4,-1,7,-1,32,33,17,20,23,-3,-9,-2,5,5,-5,0,12,23,17,21,23,15,12,13,17,28,50,21,14,27,16,31,52,41,38,10,31,13,5,12,6,3,9,1,3,6,1,-3,-3,1,-4,1,5,0,33,-1,14,10,14,8,-1,3,3,3,11,15,-2,1,-1,2,7,40,13,-1,5,10,4,-1,14,11,9,9,14,2,3,8,23,13,10,16,7,-1,6,8,4,27,32,15,6,7,24,23,50,40,15,11,7,10,14,16,35,30,12,13,10,11,16,15,46,50,28,30,31,51,39,33,6,6,16,24,32,27,26,13,19,29,29,47,75,93,100,94,53,43,25,35,32,28,32,45,43,22,10,20,24,10,5,-1,7,19,22,16,12,8,2,2,36,17,38,4,11,31,17,27,24,14,6,7,6,1,3,9,11,21,23,27,34,29,32,24,13,23,13,18,31,33,18,11,15,29,22,27,29,23,33,35,21,26,6,6,15,10,6,8,4,3,-2,-4,18,19,8,-2,-3,16,14,21,18,9,4,-2,-3,-1,15,32,20,5,9,-1,-4,6,7,0,9,10,2,4""",716124,3742,389069,592469,37471,109381,560,893,202,1
UA,"""6,11,27,33,16,20,20,26,24,5,11,15,-2,-6,-2,1,-3,0,-3,-4,-1,-3,-5,0,-2,0,-9,-9,-1,6,-6,5,16,11,8,9,12,-7,2,0,-8,-5,10,3,4,11,15,9,0,7,6,19,14,4,-2,7,20,8,8,28,22,24,7,20,7,2,1,-5,-4,-4,-1,-3,0,2,-4,0,-3,-3,10,4,1,36,-1,4,11,2,-1,-2,-3,-4,-2,6,-1,0,-2,2,2,8,42,20,-1,-1,4,-3,-3,16,13,-2,2,22,-4,-4,0,8,9,-1,2,-6,-8,-3,-4,-9,-3,-1,0,0,-3,6,4,10,25,3,1,4,8,2,10,20,8,7,12,1,1,3,0,9,34,3,3,7,27,31,16,1,7,12,2,7,20,13,9,15,18,11,14,48,43,34,35,16,16,11,12,23,12,11,11,4,8,5,21,17,9,-6,-9,-1,16,12,72,17,5,-3,1,23,22,19,2,6,25,10,1,14,4,3,-1,-1,3,3,4,-2,20,7,8,11,6,8,2,1,2,-4,0,12,21,-1,2,5,12,8,14,7,6,40,5,-4,0,1,3,-5,-5,-6,-7,-9,2,-5,0,3,7,-6,-11,-9,14,-5,13,-1,-9,-3,-4,-6,-4,5,4,-9,-7,-5,-11,-8,-7,-4,-9,-4,-3,0,1""",1163087,1225,1731619,2115735,262522,417313,2480,2546,326,0
HA,"""6,30,28,2,7,-1,-1,3,4,0,2,-2,3,0,0,1,-4,-3,-2,-3,0,0,11,0,-2,-6,-5,-1,10,4,6,-2,3,1,3,4,9,10,7,17,2,9,1,6,42,4,5,-1,4,7,5,5,6,-1,-3,-1,2,6,5,5,-1,0,6,-2,1,0,5,2,1,5,6,16,5,-3,14,1,1,9,7,7,3,-1,3,0,3,-1,2,1,-3,0,0,-2,0,-1,-3,-2,2,5,2,4,-1,-1,0,-1,1,-1,-1,-2,3,-5,-4,-3,2,2,1,-3,-2,-4,-2,-2,16,-1,-2,-3,-4,-3,3,0,-2,1,-2,12,-2,0,1,-3,-3,-1,-1,-1,3,5,-2,-6,0,2,2,2,-1,-3,0,2,-1,-1,0,-2,-1,-2,-1,-3,-1,-1,3,-1,1,6,-2,4,2,3,-2,0,1,0,0,6,4,-3,2,-2,0,4,5,-4,-7,-4,-3,-2,2,-2,2,0,3,-1,-3,4,5,0,4,0,-1,1,3,0,11,4,0,1,-1,8,7,10,14,10,15,3,5,3,9,0,0,2,8,1,6,11,0,6,1,0,0,3,35,0,9,57,6,12,2,0,-3,-1,3,-1,3,36,7,1,1,0,2,1,2,16,9,16,5,0,0,-2,1,-3,0,-1,-3,-3,4,4,-3,8,-1,-6,-2""",5040,331,160372,112576,10746,99163,148,1,0,0
B6,"""1,-1,21,36,20,39,15,1,29,0,2,12,-6,-1,7,2,-7,11,0,-8,-9,-5,-5,22,-6,23,0,4,2,12,0,0,64,43,8,37,-4,-2,21,20,16,3,9,4,16,21,56,44,14,19,12,29,50,10,-1,15,10,8,12,50,25,12,9,80,25,1,1,2,-5,-7,5,-4,5,22,-6,14,18,-6,15,18,3,-4,-6,-2,25,15,8,-9,33,-5,-4,5,9,30,6,-6,-5,8,10,23,-5,-3,6,-6,-4,0,-4,-10,-4,57,-2,1,0,0,-7,-8,1,-5,-8,-2,-10,-14,-7,-6,-10,-4,-7,11,-6,-2,10,0,-6,-6,-8,0,-2,29,13,-4,0,-2,-11,-12,-5,-10,18,-5,-7,-8,35,41,9,-11,-10,-7,-12,-14,7,2,-6,-9,-1,-14,3,18,7,-13,11,6,13,10,4,43,1,11,8,10,20,3,8,19,7,-7,-12,-3,-1,15,10,10,-4,-10,-3,5,26,33,-2,-2,18,0,-6,15,1,4,-2,-8,-1,5,2,2,38,21,19,3,26,21,4,6,10,-3,5,4,44,3,8,3,42,15,1,19,5,41,8,-4,-1,-2,5,11,1,-5,-9,0,-2,-8,3,-3,22,-6,-6,-3,-1,4,52,2,14,12,-4,-7,-1,4,-1,-4,1,2,-6,-9,5,9,-5,4,-2,9,14""",786645,8789,789673,1082051,98973,199652,758,2454,755,1
OO,"""12,12,28,32,25,14,16,22,21,7,17,23,16,3,8,5,-1,3,4,12,20,5,0,-6,6,2,-4,-4,1,9,3,17,14,11,20,22,3,0,10,7,-2,0,2,3,-1,8,13,7,7,9,7,9,12,14,4,9,23,16,8,12,13,28,9,0,5,-5,0,1,6,3,1,2,-4,-1,-2,-1,-3,-3,-2,-1,6,21,3,7,-1,-1,-3,-1,-4,1,3,3,3,-4,0,-1,5,9,14,5,-4,-3,5,2,6,13,12,-1,2,6,1,2,0,7,4,2,-3,-1,-6,-4,2,-4,0,4,2,3,3,5,7,7,12,0,2,6,8,0,5,7,4,6,3,3,2,-3,1,7,8,5,4,0,2,4,-2,4,4,9,0,14,9,6,8,13,16,11,11,19,14,7,11,7,5,3,18,2,6,4,7,3,7,5,8,8,9,-3,-2,5,14,8,18,10,6,-1,4,14,13,5,5,5,18,7,4,6,3,11,2,1,5,1,4,4,4,4,5,12,3,3,3,4,7,1,3,15,10,2,3,8,2,6,12,9,8,11,7,1,7,3,2,1,2,-3,3,-2,8,-3,0,3,6,-2,-4,-2,10,-2,0,0,-6,4,4,2,2,12,6,-5,-2,3,-3,1,-3,1,-3,-1,1,3,0""",977669,7565,1536668,2191762,182788,532034,2849,3805,963,0
EV,"""2,6,36,39,29,22,15,19,16,2,11,28,4,1,3,3,-8,-3,-4,-3,9,5,6,-2,-1,3,-5,-5,1,3,-6,8,21,11,13,8,-3,-8,0,7,-1,-1,4,2,3,12,23,23,14,8,10,9,18,17,23,13,30,7,2,24,16,31,16,17,20,6,6,11,5,9,6,2,5,-2,-5,4,-1,1,4,1,2,19,-1,4,9,5,-4,-4,-1,-1,-3,4,3,-6,-3,-2,3,9,27,26,-2,2,8,3,-2,13,8,1,9,12,-1,1,-2,10,12,2,8,-4,-4,-3,-6,-8,-5,-2,3,-1,0,8,6,16,29,2,0,-1,3,-1,18,22,10,8,15,1,-1,3,7,22,34,9,6,10,14,17,5,2,1,3,-3,7,23,20,6,17,16,9,14,27,32,57,31,5,6,14,16,8,11,10,14,15,6,4,19,20,7,4,-5,4,14,15,14,6,-2,-2,-1,18,15,16,-1,1,20,9,2,11,2,5,-1,0,3,3,4,3,10,3,-1,4,1,-2,3,7,2,-3,2,20,18,-1,1,-2,12,4,14,12,19,33,3,-4,13,2,5,-4,-3,-3,-6,-4,1,-4,-3,9,13,1,-8,-6,13,5,21,2,-4,-3,-4,-4,-6,5,5,-5,-4,-5,-5,-5,-4,0,-4,-2,1,1,4""",1345835,0,1859649,2094169,141513,509144,2967,4057,5429,1
MQ,"""13,21,41,70,60,41,38,41,33,13,27,39,29,9,2,6,-2,5,5,2,12,14,1,-4,20,18,2,-3,5,9,-5,8,26,24,34,41,1,-6,12,31,-2,2,3,11,11,27,28,25,19,20,36,20,23,29,41,25,49,40,21,56,32,52,25,28,34,5,8,8,5,9,10,6,2,-1,-4,1,7,6,13,1,7,34,1,-1,9,15,-3,1,-3,-5,1,6,2,-9,-2,1,2,13,53,15,-5,-3,22,-3,-4,5,5,9,3,5,11,0,-3,26,1,0,11,-4,-7,-4,-8,-10,-3,-2,5,4,2,22,24,43,15,2,1,-1,3,-5,5,11,5,2,2,2,-3,-5,9,12,15,1,12,9,-1,3,1,-6,-4,3,-8,20,22,5,11,9,26,12,12,23,25,28,25,1,0,11,9,2,2,7,25,10,3,4,2,-1,4,0,-8,-4,22,14,14,4,4,-5,0,29,1,8,3,5,26,1,-1,-1,-7,-2,-3,3,-1,0,2,2,2,3,-4,-2,3,-3,1,1,0,-4,7,34,7,0,-2,2,6,-4,18,7,3,8,-1,-3,1,-3,-4,-7,-4,-4,-9,-5,5,-9,-7,-2,5,-3,-15,-4,25,1,1,-2,-5,-7,-11,-10,-12,34,16,-3,-6,-6,-7,-10,-8,-1,-12,-7,-8,-3,-2""",815424,6119,878744,1229770,322797,232767,2363,7629,3049,1
F9,"""16,16,58,66,33,26,39,23,36,17,20,24,4,7,0,2,14,18,22,16,28,6,4,3,17,5,-7,1,6,14,5,54,46,34,52,17,4,-6,0,9,4,5,5,5,41,27,47,36,22,26,25,44,80,30,15,39,37,13,57,51,45,57,48,34,21,15,15,29,19,9,7,18,15,3,-4,28,2,10,17,13,16,47,7,21,13,28,10,5,6,3,2,24,25,10,9,0,9,10,21,17,9,8,25,17,31,39,20,-1,7,8,4,5,11,13,10,0,0,-1,20,11,9,-3,4,12,20,15,13,13,23,33,15,1,5,9,6,12,16,50,13,22,2,3,19,-2,13,6,13,6,10,12,17,24,12,10,19,24,8,12,24,15,12,37,27,15,21,25,13,62,36,35,20,4,8,13,15,15,37,14,6,0,15,10,19,5,-3,8,40,22,10,14,7,8,21,32,37,22,6,16,19,6,11,6,6,8,18,17,8,18,21,4,8,7,17,5,4,-1,0,10,16,9,15,12,36,5,14,7,23,5,20,18,16,32,5,-1,3,-5,3,2,-1,1,-6,-1,7,9,3,0,14,2,-5,-4,13,-2,19,13,-2,-7,-7,-4,-6,-3,0,8,-2,-1,-9,-7,-4,-7,-5,-1,12,0,-3""",467058,0,268927,501751,15320,87307,278,177,0,0
WN,"""5,12,24,30,14,25,7,6,1,-1,13,12,-1,-5,0,-3,-8,-4,-4,-5,-2,-3,-2,-4,-4,-2,-10,-7,-2,6,-6,8,5,0,2,7,-1,-9,-1,-2,-6,-6,0,0,4,2,15,7,2,4,2,5,6,5,3,3,21,6,3,18,16,12,2,7,6,-2,1,-1,-2,-1,-1,1,-2,-1,-6,-3,-4,-1,15,0,0,17,0,6,10,9,0,-1,-1,-3,-1,6,4,-3,-1,-1,3,10,18,10,-3,0,5,1,-1,10,6,-2,1,4,-3,-1,5,12,5,-1,1,-6,-7,1,-3,-2,2,4,-5,3,3,12,5,11,9,-1,0,1,6,-2,7,15,9,5,6,2,1,-5,11,28,13,4,5,0,11,8,4,-1,1,4,-5,3,11,10,16,15,15,9,8,19,14,9,16,14,11,13,8,17,15,12,16,17,10,3,13,19,15,2,-7,5,12,10,13,10,2,3,5,28,21,18,7,10,32,13,9,7,5,9,8,5,2,1,5,10,19,10,19,6,8,8,4,7,12,3,4,9,14,1,12,11,13,2,6,5,9,23,5,-4,3,-1,0,-4,-1,-5,-6,-5,-3,-9,-1,-1,8,-4,-9,-5,9,1,10,-2,-1,-4,-3,-2,-1,1,4,-2,-5,-3,-7,-6,-5,-3,-5,-2,-5,-4,-3""",1303377,8431,3011205,4984924,443539,1113759,5172,7116,834,7
VX,"""-4,1,0,14,2,9,4,-3,3,-6,19,14,-9,-8,5,13,-5,9,-1,-1,-13,4,-7,-3,-1,-3,-10,-3,-7,10,-10,-10,8,5,17,24,83,-1,55,2,-10,-9,-5,4,0,4,-2,13,-1,8,5,-3,6,1,-10,-8,-1,20,2,29,30,2,-5,16,12,-4,11,0,4,2,4,-4,-5,15,-9,-1,12,1,10,2,11,22,-4,1,6,4,-11,3,-5,-3,0,-1,-1,15,5,1,0,-1,21,10,-7,-8,-2,-3,-7,-6,-10,-12,-4,25,6,-2,11,11,4,-7,-7,-1,-11,-6,-4,-5,4,7,-5,-4,-2,4,-3,10,10,1,5,12,10,-2,13,32,21,6,17,11,-2,-8,14,1,14,6,4,-3,25,35,0,-6,-2,0,-3,2,7,5,-3,3,4,-8,7,22,14,7,17,9,5,4,-1,27,-2,-3,7,-1,3,1,5,0,-1,-7,-10,0,12,6,25,25,19,-8,0,10,23,9,2,-2,33,11,3,12,0,18,0,-8,2,3,-5,-2,20,7,-2,8,5,23,9,9,7,-2,5,5,21,6,17,12,5,-1,6,2,0,35,3,-5,0,1,2,-6,-4,-6,-4,-7,-8,-8,0,2,2,-10,-6,-8,-3,0,12,-7,-7,24,4,3,6,4,0,-9,1,5,-8,-7,-4,-1,-2,0,-4,0,0""",173208,1061,92820,172611,28494,59530,109,6,295,0
